,name,position,primary_color,secondary_color,badge_url,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
0,Fábio,G,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/17785/image,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,90.0,14.0,6.3,2.0,0.0,0.0,0.0,0.0
1,Guga,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/928134/image,62.0,58.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,12.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,74.0,7.6,7.0,0.0,3.0,0.11,2.0
2,Thiago Santos,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/378590/image,91.0,86.0,6.0,4.0,0.0,3.0,1.0,4.0,3.0,11.0,14.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,123.0,8.2,10.0,0.54,1.0,0.41,11.0
3,Felipe Melo,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/4811/image,58.0,54.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,73.0,6.9,7.0,0.0,0.0,0.0,4.0
4,Marcelo,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/17787/image,53.0,43.0,9.0,5.0,0.0,4.0,1.0,0.0,0.0,7.0,6.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,65.0,7.2,10.0,0.05,3.0,0.24,6.0
5,Jhon Arias,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/844096/image,59.0,48.0,2.0,0.0,0.0,12.0,6.0,1.0,1.0,16.0,14.0,1.0,2.0,7.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,86.0,10.0,13.0,0.34,8.0,1.98,13.0
6,André,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/1035996/image,88.0,85.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,102.0,7.5,4.0,0.0,0.0,0.0,5.0
7,Matheus Martinelli,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/1067671/image,74.0,71.0,3.0,3.0,0.0,4.0,1.0,0.0,1.0,15.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,102.0,7.4,7.0,0.0,2.0,0.03,6.0
8,Keno,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/787607/image,30.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0,10.0,0.0,2.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,51.0,7.8,9.0,0.23,0.0,0.0,9.0
9,Germán Cano,F,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/33238/image,23.0,17.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,90.0,50.0,5.8,7.0,2.52,0.0,0.0,0.0
10,Ganso,F,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/116853/image,70.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,78.0,7.6,4.0,0.12,1.0,0.18,3.0
11,Renato Augusto,F,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/34152/image,37.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,49.0,7.2,4.0,0.39,3.0,0.16,2.0
12,David Terans,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/586662/image,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,7.1,1.0,0.27,0.0,0.0,6.0
13,Diogo Barbosa,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/243107/image,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,6.7,0.0,0.0,1.0,0.07,1.0
14,Lima,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/807850/image,11.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,6.7,1.0,0.0,0.0,0.0,1.0
15,Felipe Alves,G,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/927704/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Lucas Justen,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/1521960/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Antônio Carlos,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/242209/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Felipe Andrade,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/1586575/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,David Braz,D,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/46942/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Danielzinho,M,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/840218/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lelê,F,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/1173457/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Yony González,F,#A1002C,#006A3D,https://api.sofascore.com/api/v1/team/1961/image,https://api.sofascore.com/api/v1/player/351432/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
