,id,name,primary_color,secondary_color,badge_url,goalsScored,goalsConceded,assists,shots,penaltyGoals,penaltiesTaken,successfulDribbles,dribbleAttempts,corners,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,interceptions,saves,errorsLeadingToShot,totalDuels,duelsWon,duelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,offsides,fouls,yellowCards,yellowRedCards,redCards,shotsAgainst,goalKicks,ballRecovery,freeKicks,matches,awardedMatches
0,6980,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,8.0,7.0,6.0,112.0,1.0,1.0,149.0,217.0,29.0,49.5,3282.0,2796.0,85.19,288.0,174.0,60.42,127.0,53.0,41.73,3.0,320.0,31.0,51.0,1794.0,687.0,38.29,326.0,154.0,47.24,11.0,127.0,25.0,0.0,0.0,118.0,89.0,643.0,22.0,9.0,0.0
1,1961,Fluminense,#660000,#006633,https://api.sofascore.com/api/v1/team/1961/image,15.0,4.0,8.0,119.0,0.0,0.0,158.0,222.0,30.0,63.3,4147.0,3770.0,90.91,221.0,137.0,61.99,116.0,41.0,35.34,4.0,230.0,17.0,14.0,1364.0,577.0,42.3,177.0,88.0,49.72,9.0,113.0,13.0,1.0,1.0,58.0,40.0,486.0,14.0,9.0,0.0
2,1993,Bangu,#ffffff,#f30000,https://api.sofascore.com/api/v1/team/1993/image,7.0,16.0,2.0,60.0,1.0,1.0,139.0,196.0,21.0,44.6,2611.0,2168.0,83.03,267.0,153.0,57.3,84.0,28.0,33.33,1.0,311.0,38.0,54.0,1600.0,588.0,36.75,211.0,83.0,39.34,13.0,136.0,24.0,1.0,0.0,137.0,86.0,490.0,21.0,8.0,0.0
3,5981,Flamengo,#ff0000,#000000,https://api.sofascore.com/api/v1/team/5981/image,14.0,1.0,8.0,123.0,1.0,2.0,164.0,209.0,51.0,58.8,4021.0,3546.0,88.19,258.0,146.0,56.59,124.0,53.0,42.74,7.0,221.0,11.0,28.0,1435.0,570.0,39.72,191.0,101.0,52.88,7.0,120.0,13.0,1.0,0.0,65.0,51.0,545.0,26.0,8.0,0.0
4,208067,Portuguesa-RJ,#cc0014,#005400,https://api.sofascore.com/api/v1/team/208067/image,7.0,3.0,3.0,75.0,1.0,1.0,106.0,143.0,27.0,50.8,2817.0,2369.0,84.1,314.0,169.0,53.82,97.0,31.0,31.96,5.0,263.0,18.0,27.0,1360.0,507.0,37.28,183.0,83.0,45.36,7.0,165.0,27.0,0.0,0.0,74.0,37.0,524.0,26.0,8.0,0.0
5,85341,Audax-RJ,#52b030,#52b030,https://api.sofascore.com/api/v1/team/85341/image,0.0,12.0,0.0,69.0,0.0,0.0,149.0,216.0,26.0,42.2,2823.0,2362.0,83.67,259.0,142.0,54.83,67.0,20.0,29.85,0.0,314.0,30.0,73.0,1795.0,658.0,36.66,232.0,96.0,41.38,14.0,141.0,24.0,0.0,0.0,152.0,91.0,565.0,26.0,8.0,0.0
6,6981,Nova Iguaçu,#ff932e,#ffffff,https://api.sofascore.com/api/v1/team/6981/image,12.0,10.0,5.0,106.0,0.0,0.0,163.0,239.0,33.0,48.3,3061.0,2560.0,83.63,358.0,204.0,56.98,90.0,27.0,30.0,2.0,365.0,28.0,46.0,1730.0,626.0,36.18,235.0,102.0,43.4,16.0,152.0,33.0,1.0,1.0,95.0,71.0,579.0,20.0,8.0,0.0
7,6977,Boavista,#ffffff,#009900,https://api.sofascore.com/api/v1/team/6977/image,10.0,12.0,6.0,109.0,0.0,0.0,128.0,172.0,40.0,45.1,2610.0,2107.0,80.73,323.0,175.0,54.18,76.0,23.0,30.26,2.0,312.0,32.0,59.0,1713.0,631.0,36.84,308.0,118.0,38.31,16.0,133.0,30.0,0.0,0.0,123.0,80.0,595.0,35.0,8.0,0.0
8,1974,Vasco da Gama,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1974/image,10.0,7.0,7.0,120.0,0.0,0.0,154.0,211.0,56.0,55.6,3811.0,3349.0,87.88,271.0,177.0,65.31,184.0,76.0,41.3,5.0,228.0,23.0,29.0,1454.0,594.0,40.85,219.0,109.0,49.77,9.0,130.0,21.0,2.0,2.0,95.0,62.0,532.0,30.0,8.0,0.0
9,6982,Volta Redonda,#f3df67,#000000,https://api.sofascore.com/api/v1/team/6982/image,9.0,14.0,8.0,108.0,0.0,2.0,129.0,193.0,44.0,51.2,3207.0,2752.0,85.81,316.0,178.0,56.33,112.0,45.0,40.18,2.0,241.0,21.0,35.0,1665.0,617.0,37.06,256.0,112.0,43.75,21.0,169.0,27.0,1.0,0.0,90.0,51.0,563.0,36.0,8.0,0.0
10,1958,Botafogo,#000000,#ffffff,https://api.sofascore.com/api/v1/team/1958/image,11.0,5.0,8.0,112.0,1.0,1.0,195.0,267.0,37.0,49.9,3120.0,2603.0,83.43,336.0,191.0,56.85,105.0,29.0,27.62,4.0,299.0,19.0,29.0,1644.0,679.0,41.3,240.0,125.0,52.08,18.0,165.0,21.0,1.0,1.0,74.0,51.0,601.0,27.0,8.0,0.0
11,257632,Sampaio Corrêa-RJ,#52b030,#52b030,https://api.sofascore.com/api/v1/team/257632/image,6.0,14.0,2.0,88.0,0.0,1.0,162.0,247.0,44.0,41.6,2478.0,2034.0,82.08,283.0,173.0,61.13,107.0,28.0,26.17,0.0,269.0,35.0,46.0,1544.0,589.0,38.15,258.0,105.0,40.7,18.0,127.0,17.0,1.0,1.0,120.0,83.0,510.0,22.0,8.0,0.0
